,champion,race,type,region,bio
58,Kayn,"RACE
DARKIN","RÔLE
ASSASSIN","RÉGION
IONIA","Expert inégalé dans la pratique de la magie des ombres, Shieda Kayn combat pour accomplir sa véritable destinée : mener un jour l'Ordre de l'ombre vers une ère nouvelle où Ionia régnera en maître. Il manie Rhaast, une arme darkin douée de raison, sans jamais craindre la corruption de son corps et de son esprit. Il ne peut y avoir pour lui que deux fins possibles : soit Kayn pliera l'arme à sa volonté, soit la faux maléfique le consumera complètement, ouvrant la voie à la destruction de tout Runeterra."
59,Kennen,Unknown,"RÔLE
MAGE","RÉGION
IONIA","Plus ancien membre actuel de l'ordre ancestral du Kinkou, le yordle Kennen est le premier et le seul Cœur de la tempête. Pendant des siècles, il employa la diplomatie – ainsi que la force – pour entretenir l'équilibre sacré de sa patrie d'adoption, Ionia. Rapide comme l'éclair et animé par la sagesse d'une vie bien remplie, Kennen unit ses forces avec l'Œil du crépuscule, Shen, pour protéger la fragile harmonie des Terres premières à l'aide de sa tempête de shurikens et de son énergie électrique dévastatrice."
60,Kha'Zix,Unknown,"RÔLE
ASSASSIN","RÉGION
LE NÉANT","Le Néant grandit et le Néant s'adapte : parmi ses nombreuses engeances, nul n'incarne mieux cette vérité que Kha'Zix. Ce monstre est né pour survivre et pour tuer les plus forts. Quand il ne parvient pas à ses fins, il évolue et se crée de nouveaux moyens plus efficaces d'abattre sa proie. Alors que Kha'Zix n'était à l'origine qu'une créature sans cervelle, son intelligence s'est développée autant que sa forme physique. Aujourd'hui, chacune de ses traques est planifiée et profite même de la peur viscérale qu'il instille dans le cœur de ses victimes."
61,Kindred,Unknown,"RÔLE
TIREUR","RÉGION
RUNETERRA","Kindred représente les essences jumelles de la mort, distinctes mais indissociables. La flèche d'Agneau offre une fin rapide à ceux qui acceptent leur destin. Loup pourchasse ceux qui fuient leur dernier soupir et leur arrache brutalement la vie à coups de crocs. Bien que les interprétations de la nature de Kindred varient à travers tout Runeterra, chaque mortel doit choisir le vrai visage de sa mort."
62,Kled,Unknown,"RÔLE
COMBATTANT","RÉGION
NOXUS","Guerrier aussi intrépide que grincheux, Kled est la plus pure incarnation de la fureur de Noxus. D'aucuns racontent que Kled a combattu dans toutes les campagnes militaires connues, qu'il a reçu chaque grade militaire et qu'il n'a jamais fui le moindre combat. Si la véracité des détails est souvent douteuse, une partie de sa légende ne change jamais : quand il charge sur le dos de Skaarl, sa monture un peu froussarde, Kled se bat pour protéger ce qui lui appartient… et s'emparer de tout le reste !"
63,Tryndamere,Unknown,"RÔLE
TIREUR","RÉGION
LE NÉANT","Émanant d'une brèche ouverte vers le Néant, c'est dans les ruines hantées d'Icathia que Kog'Maw, la putride créature à la gueule béante, et son insatiable curiosité firent leur apparition. Cette étrange bête du Néant doit mâchouiller tout ce qui se trouve à portée pour en comprendre la nature. Bien qu'il ne soit pas fondamentalement mauvais, Kog'Maw est dangereux par sa candeur, d'autant qu'elle précède généralement une frénésie insatiable, mue par sa curiosité sans fond."
64,LeBlanc,Unknown,"RÔLE
ASSASSIN","RÉGION
NOXUS","Mystérieuse, même aux yeux des autres membres de la Rose noire, LeBlanc n'est que l'un des nombreux noms de la femme pâle qui manipule le destin de Noxus depuis ses premiers jours. Utilisant sa magie pour se cloner, elle peut être partout, devant tout le monde, et même à plusieurs endroits en même temps. Les objectifs que poursuit LeBlanc, de même que sa véritable identité, sont à l'image de ses complots : totalement insaisissables."
65,Sin,Unknown,"RÔLE
COMBATTANT","RÉGION
IONIA","Maître des antiques arts martiaux d'Ionia, Lee Sin est un combattant dévoué à de nobles principes qui canalise l'esprit du dragon pour affronter tous les défis. Bien qu'il ait perdu la vue il y a bien des années, le moine-guerrier a dédié sa vie à la protection de sa terre natale contre tous ceux qui voudraient en déstabiliser l'équilibre spirituel. Les ennemis qui sous-estiment son apparence méditative auront peu de temps pour le regretter, face à ses poings de feu et à ses coups de pied flamboyants."
66,Leona,Unknown,"RÔLE
TANK","RÉGION
TARGON","Imprégnée de l'énergie du soleil, Leona est une guerrière sainte des Solaris qui défend le Mont Targon ; elle combat avec sa Lame du zénith et son Bouclier de l'aube. Sa peau brûle d'éclats ardents et ses yeux crépitent au rythme de la Manifestation céleste qui l'habite. Équipée d'une armure d'or et affligée par le terrible fardeau de connaissances antiques, Leona apporte à certains l'illumination, à d'autres la mort."
67,Lillia,Unknown,"RÔLE
COMBATTANT","RÉGION
IONIA","Profondément timide, Lillia, le faon féérique, parcourt nerveusement les forêts d'Ionia. Échappant toujours au regard des mortels dont la nature a longtemps captivé et intimidé la jeune créature, Lillia espère découvrir la raison pour laquelle les rêves des mortels n'atteignent plus l'Arbre des rêves. Elle sillonne désormais Ionia, sa branche magique en main, afin de retrouver les rêves inassouvis des hommes. Ce n'est qu'alors que Lillia pourra s'épanouir et aider les autres à démêler leurs peurs et trouver l'étincelle qui se cache au fond d'eux. Hii !"
68,Lissandra,Unknown,"RÔLE
MAGE","RÉGION
FRELJORD","Beaucoup pensent que Lissandra, maîtresse calfeutrée des Gardiens du givre, est une sainte qui apporte sagesse et santé aux tribus de Freljord. La vérité est plus sinistre. Lissandra utilise sa magie élémentaire pour transformer la glace pure en quelque chose de sombre et de terrible, emmurant ou empalant ceux qui risqueraient de révéler ses plus noirs secrets. En vérité, les conséquences de ses actions passées risquent d'être le début de la fin pour Runeterra."
69,Lucian,Unknown,"RÔLE
TIREUR","RÉGION
RUNETERRA","Jadis une Sentinelle de la lumière, Lucian est aujourd'hui un chasseur de morts-vivants. Il poursuit ses cibles sans répit et les éradique avec ses pistolets jumeaux. Après que Thresh a tué Senna, sa femme, Lucian s'est lancé sur la voie de la vengeance. Mais, alors même que Senna est revenue à la vie, la rage de Lucian reste inextinguible. Impitoyable et déterminé, il est prêt à tout pour protéger les vivants des horreurs indicibles de la Brume noire."
70,Lulu,Unknown,"RÔLE
SUPPORT","RÉGION
BANDLE","Magicienne yordle, Lulu aime conjurer des illusions oniriques et de drôles de créatures en explorant Runeterra avec Pix, sa fée de compagnie. Lulu forge la réalité selon ses désirs, modifiant à sa guise la structure du monde et ce qu'elle considère comme les contraintes physiques d'un univers sans saveur. Beaucoup pensent que sa magie n'est pas naturelle, pour ne pas dire dangereuse, mais elle estime qu'un peu d'enchantement ne peut faire de mal à personne."
71,Lux,Unknown,"RÔLE
MAGE","RÉGION
DEMACIA","Luxanna Crownguard est originaire de Demacia, un royaume isolationniste où la magie inspire la peur et la méfiance. Capable de plier la lumière à sa volonté, elle a grandi dans la crainte d'être un jour exilée et a été contrainte de dissimuler son pouvoir pour préserver l'honneur de sa famille. Pourtant, l'optimisme et la résistance de Lux l'ont conduite à accepter ses talents exceptionnels, et elle cherche à répandre dans le royaume une plus grande compréhension et une plus grande tolérance."
72,Malphite,Unknown,"RÔLE
TANK",RÉGION,"Massive créature de pierre vivante, Malphite est issu du cœur de la grande structure ixtali connue sous le nom de Monolithe. Il a étudié l'équilibre élémentaire de Runeterra pendant des siècles, utilisant sa force phénoménale pour maintenir l'ordre dans un monde fréquemment en proie au chaos et écraser les horreurs qui rampent sous la surface. Aujourd'hui, Malphite doit endurer le caractère volatil des mortels qui n'ont cessé de troubler son sommeil, tout en défendant la seule cause digne du dernier de son espèce."
73,Malzahar,Unknown,"RÔLE
MAGE","RÉGION
LE NÉANT","Voyant fanatique ayant dédié son existence à l'unification de toute forme de vie, Malzahar croit fermement que le Néant est la voie du salut de Runeterra. Dans les étendues désertiques de Shurima, il suivit les voix qui murmuraient dans son esprit jusqu'à l'antique cité d'Icathia. Au plus profond des ruines, il plongea le regard dans le cœur noir du Néant et reçut de nouveaux pouvoirs, un nouveau but. Malzahar se considère désormais comme un berger : sa tâche est d'unir ses semblables… ou de libérer les créatures du Néant qui vivent sous terre."
74,Maokai,Unknown,"RÔLE
TANK","RÉGION
ÎLES OBSCURES","Maokai est un immense tréant possédé par la colère, qui combat les horreurs impies des Îles obscures. Il est devenu l'incarnation de la vengeance après la destruction de ses terres par un cataclysme magique, n'échappant lui-même à l'état de mort-vivant que grâce à l'eau de la vie qui l'irrigue. Autrefois, Maokai était un paisible esprit de la nature ; aujourd'hui, il combat avec fureur le fléau mort-vivant qui accable les Îles obscures pour rendre à l'archipel son ancienne beauté."
75,Yi,Unknown,"RÔLE
ASSASSIN","RÉGION
IONIA","Maître Yi a renforcé son corps et affûté son esprit jusqu'à ce que réflexion et action ne fassent plus qu'un. Bien qu'il ne fasse appel à la violence qu'en dernier recours, la grâce et la vitesse avec lesquelles il manie son épée assurent une résolution rapide de tout conflit. En tant que l'un des derniers praticiens vivants de l'art martial ionien appelé Wuju, Yi a voué sa vie à perpétuer l'héritage de son peuple, scrutant les nouveaux disciples potentiels à l'aide des Sept lentilles d'éveil pour identifier les plus dignes de recevoir son enseignement."
76,Fortune,Unknown,"RÔLE
TIREUR","RÉGION
BILGEWATER","Capitaine de Bilgewater réputée pour sa beauté et crainte pour sa cruauté, Sarah Fortune est une personnalité qui détonne au milieu des criminels endurcis qui arpentent la cité portuaire. Enfant, elle assista au massacre de sa famille par Gangplank, le roi des pillards, et elle prit sa revanche des années plus tard, faisant exploser son navire alors qu'il se trouvait à bord. Ceux qui la sous-estiment découvrent un adversaire imprévisible et séduisant... avant de prendre une ou deux balles dans les entrailles."
77,Mordekaiser,Unknown,"RÔLE
COMBATTANT","RÉGION
NOXUS","Deux fois abattu et trois fois né, Mordekaiser est un chef de guerre brutal venu d'un lointain passé. Il utilise ses pouvoirs nécromantiques pour lier les âmes à une éternité de servitude. Il n'y a plus guère de gens pour se souvenir de ses anciennes conquêtes ou pour connaître l'étendue de ses vrais pouvoirs. Pourtant, certaines âmes antiques en ont gardé la mémoire et craignent le jour où il prétendra de nouveau régner sur les vivants et les morts."
78,Morgana,Unknown,"RÔLE
MAGE","RÉGION
DEMACIA","Déchirée entre ses origines célestes et mortelles, Morgana a enchaîné ses ailes pour appartenir pleinement à l'humanité et abattre sa peine et sa rancœur sur les corrompus et les malhonnêtes. Elle rejette les lois et les traditions qu'elle juge injustes. Terrée dans les recoins obscurs de Demacia, elle préfère se battre pour la vérité – quand d'autres veulent la faire taire – en employant ses boucliers et ses chaînes de feu ténébreux. Plus que tout, Morgana croit fermement que même les proscrits et les parias peuvent un jour se racheter."
79,Nami,"RACE
VASTAYA","RÔLE
SUPPORT","RÉGION
RUNETERRA","Jeune Vastaya des mers, Nami fut la première de la tribu des Marai à quitter les océans et à s'aventurer sur la terre ferme lorsque leur accord ancestral avec les Targoniens fut rompu. Convaincue qu'il n'y avait pas d'autre solution, elle a décidé de suivre le rituel sacré permettant de garantir la protection de son peuple. Plongée en plein chaos, Nami fait face à son avenir avec détermination, utilisant son bâton d'Aquamancienne pour invoquer la puissance des océans."
80,Nasus,Unknown,"RÔLE
COMBATTANT","RÉGION
SHURIMA","Nasus est un imposant Transfiguré à tête de chacal, un héros et un demi-dieu autrefois vénéré par le peuple de Shurima. Il était très intelligent ; son savoir encyclopédique et son extraordinaire sens stratégique guidèrent l'empire vers la grandeur pendant des siècles. Après l'Ascension ratée d'Azir, Nasus s'imposa l'exil et devint une légende. Maintenant que le Disque solaire s'élève à nouveau, il est de retour pour s'assurer qu'il ne tombe plus jamais."
81,Nautilus,Unknown,"RÔLE
TANK","RÉGION
BILGEWATER","Nautilus, une légende plus ancienne encore que la première jetée de Bilgewater, est un titan en armure qui sillonne les eaux sombres au large des Îles de la Flamme Bleue. Trahi il y a bien longtemps de cela, il frappe désormais sans prévenir, se servant de son ancre gigantesque pour sauver les malheureux et couler les avares. On raconte qu'il vient chercher ceux qui oublient de payer le « tribut de Bilgewater » et qu'il les emmène avec lui au fond des mers, d'où nul ne peut s'échapper."
82,Neeko,"RACE
VASTAYA","RÔLE
MAGE",RÉGION,"Originaire d'une tribu disparue de Vastayas, Neeko est capable de se fondre dans n'importe quelle foule en empruntant l'apparence des autres, allant même jusqu'à absorber un soupçon de leur état émotionnel pour différencier un instant les amis des ennemis. Personne ne sait réellement où – ni qui – peut bien être Neeko, mais ceux qui chercheront à lui faire du mal découvriront bien vite sa véritable nature… et goûteront à toute la force primordiale de son pouvoir spirituel."
83,Nidalee,Unknown,"RÔLE
ASSASSIN",RÉGION,"Élevée au plus profond de la jungle, Nidalee est une pisteuse d'exception qui peut se transformer à volonté en couguar. Ni totalement femme, ni totalement bête, elle défend férocement son territoire contre tous ceux qui veulent y pénétrer avec ses pièges judicieusement placés et sa lance. Elle estropie sa proie avant de se jeter sur elle sous sa forme de félin. Ceux qui survivent sont rares, et tous la décrivent comme une femme aux griffes aussi aiguisées que ses instincts..."
84,Nocturne,Unknown,"RÔLE
ASSASSIN","RÉGION
RUNETERRA","Expression démoniaque des cauchemars qui hantent tous les êtres doués d'intelligence, la chose que l'on nomme Nocturne est devenue une force primordiale de la terreur. D'aspect liquide, c'est une ombre sans visage, au regard glacial, armée de lames effrayantes. Après s'être libéré du royaume spirituel, Nocturne erre désormais dans le monde charnel pour s'y repaître des peurs qui ne peuvent prospérer que dans les vraies ténèbres."
85,Willump,Unknown,"RÔLE
TANK","RÉGION
FRELJORD","Il était une fois un jeune garçon qui voulait prouver qu'il était un héros en tuant un monstre effrayant, mais il découvrit que la créature, un yéti solitaire, avait seulement besoin d'un ami. Rapprochés par une puissance ancienne et un amour partagé des boules de neige, Nunu et Willump courent maintenant librement dans tout Freljord en donnant vie à des aventures rêvées. Ils espèrent un jour retrouver la mère disparue de l'enfant. S'ils peuvent la sauver, peut-être seront-ils vraiment des héros, finalement…"
86,Olaf,Unknown,"RÔLE
COMBATTANT","RÉGION
FRELJORD","Olaf, avec sa hache et son extraordinaire force de destruction, ne souhaite que mourir au combat. Venu de l'âpre péninsule freljordienne de Lokfar, il a été choqué par une prophétie qui lui prédisait une mort paisible : dans l'esprit de son peuple, une ignoble fin de lâche. Cherchant la mort et animé par la rage, il ravage une région après l'autre, éliminant des hordes de grands guerriers et de bêtes légendaires dans sa recherche d'un ennemi capable de l'arrêter. Aujourd'hui un brutal combattant de la Griffe hivernale, il espère mourir glorieusement dans les grandes guerres à venir."
87,Orianna,Unknown,"RÔLE
MAGE","RÉGION
PILTOVER","Autrefois jeune fille curieuse, de chair et d'os, Orianna est aujourd'hui une merveille de technologie entièrement mécanisée. Elle est tombée gravement malade à la suite d'un accident dans les quartiers inférieurs de Zaun, et son corps défaillant a été remplacé petit à petit par des prothèses perfectionnées. Accompagnée par l'orbe de cuivre qui abrite son arsenal Hextech, Orianna est désormais libre d'explorer les merveilles de Piltover et d'ailleurs."
88,Ornn,Unknown,"RÔLE
TANK","RÉGION
FRELJORD","Ornn est le demi-dieu de la forge et de l'artisanat à Freljord. Avec comme seule compagne la solitude, il travaille dans sa forge enfouie au plus profond des cavernes de lave de l'Âtre-foyer. C'est là qu'il fond et purifie les métaux nécessaires à la création d'objets de qualité inimitable. Tandis que d'autres divinités – Volibear avant tout – s'immiscent dans les affaires des mortels, Ornn ne sort de son antre que pour remettre ces déités à leur place, avec son fidèle marteau ou les pouvoirs du volcan lui-même."
89,Pantheon,Unknown,"RÔLE
COMBATTANT","RÉGION
TARGON","Autrefois l'hôte réticent de la Manifestation de la Guerre, Atreus a survécu à la mort de la puissance céleste qui l'habitait, refusant de succomber au coup qui arracha les étoiles mêmes des cieux. Avec le temps, il apprit à accepter le pouvoir de sa mortalité, et la résistance bornée qui y est associée. Atreus s'oppose désormais aux entités divines en tant que Pantheon, ressuscité parmi les mortels, et manie les armes de la Manifestation animées par sa volonté inébranlable sur le champ de bataille."
90,Poppy,Unknown,"RÔLE
TANK","RÉGION
DEMACIA","Runeterra ne manque pas de braves champions, mais peu peuvent se targuer d'être aussi tenaces que Poppy. Armée du légendaire marteau d'Orlon, faisant deux fois sa taille, cette yordle déterminée cherche depuis d'innombrables années le « héros de Demacia », qui serait le dépositaire légitime de cette arme. En attendant, elle part inlassablement au combat, repoussant les ennemis du royaume à grands coups de marteau."
91,Pyke,Unknown,"RÔLE
SUPPORT","RÉGION
BILGEWATER","Harponneur renommé des quais-abattoirs de Bilgewater, Pyke aurait dû trouver la mort dans le ventre d'une énorme créature marine… et pourtant, il est revenu. À présent, il écume les ruelles sombres de son ancien port d'attache, utilisant ses dons surnaturels pour assassiner brutalement les riches exploiteurs du peuple. Bilgewater, la ville des chasseurs de monstres, est devenue le terrain de chasse d'un monstre."
92,Qiyana,Unknown,"RÔLE
ASSASSIN",RÉGION,"Dans la ville d'Ixaocan, perdue dans la jungle, Qiyana complote pour obtenir au prix du sang le siège révéré des Yun Tal. Dernière dans l'ordre de la succession, elle affronte ceux qui sont sur son chemin avec une absolue confiance en elle et une maîtrise exceptionnelle de la magie élémentaire. La terre elle-même obéit à ses ordres et Qiyana se considère comme la plus grande élémentaliste de l'histoire d'Ixaocan. À ce titre, elle pense mériter, non une ville, mais un empire."
93,Quinn,Unknown,"RÔLE
TIREUR","RÉGION
DEMACIA","Soutenue par les nobles de la famille Buvelle, Quinn est un chevalier-éclaireur de Demacia qui entreprend des missions périlleuses en territoire ennemi. Avec son aigle de légende, Valor, elle forme un duo inséparable dont les proies rendent souvent l'âme avant même de comprendre qu'elles affrontaient non pas un, mais deux des plus grands héros du royaume. Aussi agile que mortellement efficace sur le champ de bataille, Quinn se sert de son arbalète pour abattre les cibles marquées par Valor."
94,Rakan,"RACE
VASTAYA","RÔLE
SUPPORT","RÉGION
IONIA","Aussi lunatique que charmeur, Rakan est un trublion vastaya tristement célèbre, et le plus grand danseur guerrier de l'histoire de la tribu Lhotla. Pour les humains qui vivent dans les hautes terres d'Ionia, son nom a longtemps été synonyme de festivals endiablés, de fêtes déraisonnables et de musique anarchique. Mais cet histrion ambulant a abandonné son ancienne vie pour se consacrer pleinement à la cause de son amante, Xayah la rebelle. Ensemble, ils se battent désormais pour libérer la magie sauvage d'Ionia et rendre aux Vastayas la terre qui leur appartient."
95,Rammus,Unknown,"RÔLE
TANK","RÉGION
SHURIMA","Beaucoup l'idolâtrent, certains le méprisent, mais tous restent perplexes devant l'énigmatique Rammus. Protégé par une carapace cloutée, il inspire des théories de plus en plus variées sur ses origines : demi-dieu, oracle, simple bête transformée par la magie... Quelle que soit la vérité, Rammus n'est pas très bavard et ne s'arrête pour personne tandis qu'il parcourt le désert de Shurima."
96,Sivir,Unknown,"RÔLE
COMBATTANT","RÉGION
LE NÉANT","Rek'Sai est une créature prédatrice – la plus imposante et la plus féroce de son espèce – qui se déplace sous terre pour surprendre ses proies. Son appétit vorace a ravagé des régions entières de Shurima à l'époque où cet empire était encore florissant. Les marchands et les caravanes armées faisaient des détours de plusieurs kilomètres pour rester loin de ses terres. Dès lors que Rek'Sai vous a repéré, votre sort est scellé. Nul ne peut lui échapper ; elle est la mort qui surgit du sable."
97,Rell,Unknown,"RÔLE
SUPPORT","RÉGION
NOXUS","Changée en arme vivante par les expériences brutales de l'académie de la Rose noire, Rell est aujourd'hui déterminée à détruire Noxus. Son enfance a été particulièrement horrible ; on lui a fait subir des choses atroces afin de perfectionner ses capacités magiques de manipulation du métal... jusqu'à ce qu'elle réussisse à s'échapper en tuant beaucoup de ses ravisseurs au passage. Désormais considérée comme une criminelle, Rell s'attaque aux soldats noxiens tout en recherchant les survivants de son ancienne « académie ». Bien qu'elle défende les faibles, elle tuera sans pitié ses anciens professeurs."
98,Glasc,Unknown,"RÔLE
SUPPORT","RÉGION
ZAUN","Renata Glasc s'extirpa des cendres de sa maison natale avec son nom et les recherches alchimiques de ses parents pour seules possessions. Au cours des décennies suivantes, elle devint la Baronne de la chimie la plus riche de Zaun et un génie des affaires capable de faire converger les intérêts de tous vers les siens. Travaillez avec elle et vous serez généreusement récompensé. Opposez-vous à elle et vous ne manquerez pas d'occasions de le regretter. Sachez seulement que tout le monde finit par se rallier à elle."
99,Renekton,Unknown,"RÔLE
COMBATTANT","RÉGION
SHURIMA","Originaire du désert brûlant de Shurima, Renekton est un terrifiant Transfiguré animé par la rage. Il était autrefois le champion le plus respecté de l'empire, dont il avait mené les armées à la victoire à maintes reprises. Cependant, après la chute du Disque solaire, Renekton fut enfoui sous les sables. Petit à petit, alors que le monde changeait, il sombra dans la démence. Désormais libre, il est consumé par le désir de se venger de son frère, Nasus, qu'il juge responsable des siècles qu'il a passés dans les ténèbres."
100,Rengar,"RACE
VASTAYA","RÔLE
ASSASSIN",RÉGION,"Rengar est un féroce Vastaya chasseur de trophées qui ne vit que pour le frisson de la traque et de l'élimination des proies les plus dangereuses. Il parcourt le monde à la recherche des bêtes les plus féroces, et surtout de Kha'Zix, la créature du Néant qui lui a fait perdre un œil. Rengar ne piste ses proies ni pour la nourriture ni pour la gloire, mais pour la beauté de la poursuite en elle-même."
101,Riven,Unknown,"RÔLE
COMBATTANT","RÉGION
NOXUS","Autrefois soldat d'un régiment de Noxus, Riven s'est élevée dans la hiérarchie grâce à sa force de conviction et à son efficacité brutale : sa récompense fut de commander ses propres troupes, armée d'une épée runique légendaire. Cependant, sur le front ionien, la foi de Riven en sa nation vacilla et finit par rompre. Elle trancha ainsi tous ses liens avec l'empire dans l'espoir de trouver sa place dans un monde brisé, alors même que, d'après les rumeurs, Noxus avait retrouvé sa vigueur d'antan. Désormais forcée de rentrer en tant que prisonnière, elle doit affronter le jugement de son ancienne patrie…"
102,Rumble,Unknown,"RÔLE
COMBATTANT","RÉGION
BANDLE","Rumble est un jeune inventeur soupe au lait. Ne disposant que de ses deux mains et d'une pile de ferraille, le yordle au tempérament de feu se fabriqua une colossale armure mécanique, dotée d'un arsenal de harpons électrifiés et de roquettes incendiaires. Si certains pouffent devant ses créations sorties tout droit d'une décharge, Rumble n'en a que faire : après tout, c'est lui qui est doté d'un lance-flammes."
103,Ryze,Unknown,"RÔLE
MAGE","RÉGION
RUNETERRA","Largement considéré comme l'un des plus puissants sorciers de Runeterra, Ryze est un archimage endurci par les ans qui porte un fardeau incommensurable sur ses épaules. Armé d'une constitution à toute épreuve et d'un vaste arsenal de connaissances mystiques, il consacre sa vie à rassembler les Runes telluriques, les fragments de magie brute qui ont jadis servi à façonner le monde. Ryze doit récupérer ces reliques avant qu'elles ne tombent entre de mauvaises mains, car il sait quel genre d'horreurs elles pourraient déchaîner sur Runeterra."
104,Samira,Unknown,"RÔLE
TIREUR","RÉGION
NOXUS","Toujours en quête de sensations fortes, Samira regarde la mort dans les yeux avec une confiance inébranlable. Après la destruction qui a frappé son foyer shurimien lorsqu'elle était enfant, Samira a trouvé sa véritable vocation à Noxus, où elle s'est forgé une réputation de tête brûlée extrêmement classe qui accepte les missions les plus dangereuses. Munie de deux pistolets à poudre noire et d'une épée personnalisée, Samira s'épanouit lorsque sa vie est en danger et élimine spectaculairement tous ceux qui se mettent en travers de sa route."
105,Sejuani,Unknown,"RÔLE
TANK","RÉGION
FRELJORD","Sejuani est l'impitoyable chef de guerre sublimée de la Griffe hivernale, l'une des tribus les plus redoutées de Freljord. La survie de son peuple est une lutte constante et désespérée contre les éléments. Pour résister aux rigueurs de l'hiver, il doit lancer des assauts contre les Noxiens, les Demaciens et les Avarosans. Sejuani mène elle-même la charge des plus dangereux de ces assauts en chevauchant son sanglier drüvask, Bristle, et en agitant son fléau de glace pure pour congeler et réduire en miettes ses ennemis."
106,Senna,Unknown,"RÔLE
SUPPORT","RÉGION
RUNETERRA","Condamnée dès l'enfance à être hantée par la mystérieuse Brume noire, Senna rejoignit un ordre sacré connu sous le nom des Sentinelles de la lumière. Elle combattit vaillamment, avant de périr sous les coups du cruel spectre Thresh et de voir son âme emprisonnée dans sa lanterne. Refusant de perdre espoir, Senna apprit à utiliser la Brume à l'intérieur de la lanterne et revint à la vie, changée à jamais. Brandissant désormais la puissance des ténèbres comme de la lumière, Senna cherche à mettre fin à la Brume noire en la retournant contre elle-même, chaque tir de son arme permettant de libérer les âmes qui y sont perdues."
107,Sett,Unknown,"RÔLE
COMBATTANT","RÉGION
IONIA","Sett s'est imposé en tant que chef du monde criminel florissant d'Ionia après la guerre contre Noxus. Bien qu'il ait fait ses débuts de manière modeste dans les arènes de combat de Navori, il s'est rapidement fait une réputation pour sa force sauvage et sa capacité à encaisser tous les coups sans broncher. Après s'être battu pour se faire une place parmi les combattants locaux, Sett s'est hissé au sommet à la force de ses poings pour finalement prendre le contrôle des arènes dans lesquelles il se battait autrefois."
108,Fate,Unknown,"RÔLE
ASSASSIN","RÉGION
RUNETERRA","Fabriqué il y a longtemps pour servir de jouet à un prince qui se sentait seul, Shaco est une marionnette enchantée qui se repaît désormais de meurtres et de chaos. Corrompu par la magie noire et la perte de sa chère mission, le pantin autrefois gentil ne se réjouit plus que du malheur des âmes qu'il tourmente. Il utilise ses jouets et ses mauvais tours pour répandre la mort et le sang, ce qui le fait follement rire. Tous ceux qui, la nuit venue, entendent un odieux ricanement savent qu'ils sont la prochaine cible du Bouffon des ténèbres."
109,Shen,Unknown,"RÔLE
TANK","RÉGION
IONIA","Shen, l'Œil du crépuscule, est le chef d'un groupe secret de guerriers ioniens connu sous le nom de Kinkou. Désireux d'échapper aux méfaits des émotions, des préjugés et de l'ego, il porte un regard désintéressé sur les choses en arpentant le chemin invisible entre le royaume des esprits et le monde physique. Ayant pour mission d'assurer leur équilibre, Shen emploie ses lames d'acier et son énergie arcanique contre ceux qui voudraient le menacer."
110,Shyvana,Unknown,"RÔLE
COMBATTANT","RÉGION
DEMACIA","Shyvana est une créature au cœur embrasé par la magie élémentaire. Bien qu'elle soit le plus souvent visible sous sa forme humaine, elle peut adopter sa véritable forme lorsque c'est nécessaire, celle d'un dragon terrifiant incinérant ses ennemis à l'aide de son souffle enflammé. Après avoir sauvé la vie du prince héritier Jarvan IV, Shyvana sert au sein de sa garde royale, luttant pour être acceptée par le peuple suspicieux de Demacia."
111,Singed,Unknown,"RÔLE
TANK","RÉGION
ZAUN","Singed est un alchimiste zaunien d'une intelligence exceptionnelle, prêt à tout pour repousser les limites de la connaissance, y compris y perdre sa santé mentale. Sa folie répond-elle à une logique ? Ses décoctions ont généralement l'effet escompté, mais pour beaucoup, Singed a perdu tout ce qui faisait de lui un être humain, ne laissant dans son sillage qu'une trace nocive et terrifiante."
112,Sion,Unknown,"RÔLE
TANK","RÉGION
NOXUS","Chef de guerre brutal d'une ère passée, Sion était vénéré à Noxus pour avoir tué un roi de Demacia à mains nues, mais on le priva du repos de la mort et on le ressuscita pour servir de nouveau l'empire. Ses massacres détruisent tous ceux qui se trouvent à proximité, quelle que soit leur allégeance, car il ne lui reste plus grand-chose de son ancienne humanité. Son armure rivetée à même la chair, Sion charge sans relâche au combat, luttant entre deux coups de sa puissante hache pour tenter de se remémorer qui il était."
113,Sivir,Unknown,"RÔLE
TIREUR","RÉGION
SHURIMA","Sivir est un célèbre capitaine de mercenaires œuvrant dans le désert de Shurima. Équipée de son arme légendaire, elle a mené et remporté d'innombrables batailles pour les clients capables de s'offrir ses services. Elle mettait son honneur à retrouver les trésors perdus des catacombes de l'ancien empire… tout en empochant une part des bénéfices. Mais le jour où des forces ancestrales se sont éveillées au plus profond de Shurima, Sivir s'est retrouvée tiraillée entre deux destins conflictuels…"
114,Skarner,Unknown,"RÔLE
COMBATTANT","RÉGION
SHURIMA","Skarner est un Brackern, un immense scorpion cristallin venu d'une vallée cachée de Shurima. Les Brackerns sont réputés pour leur grande sagesse et leur profond lien avec la magie, et leurs corps abritent de puissants cristaux vivants qui servent de réceptacles aux pensées et souvenirs de leurs ancêtres. Il y a de cela fort longtemps, ils sont entrés en hibernation pour éviter la destruction, mais de récents événements ont réveillé Skarner, et celui-ci tente désormais de protéger les siens qui sommeillent encore contre quiconque les mettrait en danger."
